date,code,name,action,price,amount,value,commission
2026-01-23,688280,精进电动-UW,buy,10.61,3100,32891.0,9.867299999999998
2026-01-23,301356,天振股份,buy,24.04,1300,31252.0,9.375599999999999
2026-01-23,688533,上声电子,buy,33.79,900,30411.0,9.123299999999999
2026-01-23,688533,上声电子,sell,33.79,900,30411.0,39.5343
2026-01-26,000839,国安股份,buy,2.91,6100,17751.0,5.3252999999999995
2026-01-26,301356,天振股份,sell,23.7,900,21330.0,27.729
2026-01-27,688280,精进电动-UW,sell,9.76,3100,30256.0,39.3328
2026-01-27,300486,东杰智能,buy,23.76,400,9504.0,5.0
2026-01-30,301356,天振股份,sell,22.83,400,9132.0,14.132
2026-01-30,300251,光线传媒,buy,19.56,700,13692.0,5.0
2026-02-02,000839,国安股份,sell,2.86,6100,17446.0,22.6798
2026-02-02,300486,东杰智能,sell,22.8,400,9120.0,14.120000000000001
2026-02-02,300251,光线传媒,sell,19.64,700,13748.0,18.748
2026-02-03,300251,光线传媒,buy,20.14,1500,30210.0,9.062999999999999
2026-02-03,688280,精进电动-UW,buy,10.58,3000,31740.0,9.521999999999998
2026-02-03,600984,建设机械,buy,4.53,7000,31710.0,9.513
2026-02-03,600984,建设机械,sell,4.53,7000,31710.0,41.223
2026-02-04,600984,建设机械,buy,4.56,2400,10943.999999999998,5.0
2026-02-04,300251,光线传媒,sell,19.12,800,15296.0,20.296
2026-02-04,688280,精进电动-UW,sell,10.45,1400,14629.999999999998,19.63
2026-02-05,300251,光线传媒,sell,20.84,700,14588.0,19.588
2026-02-05,603021,ST华鹏,buy,6.0,2900,17400.0,5.22
2026-02-09,688280,精进电动-UW,sell,10.04,1600,16063.999999999998,21.064
2026-02-09,300251,光线传媒,buy,21.3,500,10650.0,5.0
2026-02-11,600984,建设机械,sell,4.32,2400,10368.0,15.368
2026-02-11,300812,易天股份,buy,33.6,400,13440.0,5.0
