date,code,name,action,price,amount,value,commission
2016-02-26,600984,建设机械,buy,4.78,6900,32982.0,9.894599999999999
2016-02-26,002498,汉缆股份,buy,4.22,7800,32916.0,9.874799999999999
2016-02-26,601890,亚星锚链,buy,9.17,3600,33012.0,9.903599999999999
2016-03-01,600984,建设机械,sell,4.48,6900,30912.000000000004,40.1856
2016-03-01,002498,汉缆股份,sell,4.09,7800,31902.0,41.4726
2016-03-01,601890,亚星锚链,sell,8.89,3600,32004.000000000004,41.6052
2016-03-02,600397,江钨装备,buy,5.2,6100,31720.0,9.516
2016-03-02,300100,双林股份,buy,21.88,1400,30632.0,9.189599999999999
2016-03-02,600629,华建集团,buy,9.01,3500,31535.0,9.4605
2016-03-04,300100,双林股份,sell,17.55,1400,24570.0,31.941
2016-03-07,600629,华建集团,sell,8.49,3500,29715.0,38.6295
2016-03-07,600893,航发动力,buy,37.96,200,7592.0,5.0
2016-03-07,600791,京能置业,buy,6.74,1300,8762.0,5.0
2016-03-07,600397,江钨装备,sell,5.4,6100,32940.0,42.821999999999996
2016-03-07,600893,航发动力,sell,37.96,200,7592.0,12.592
2016-03-07,600791,京能置业,sell,6.74,1300,8762.0,13.762
2016-05-31,000798,中水渔业,buy,15.0,500,7500.0,5.0
2016-05-31,000833,粤桂股份,buy,11.03,800,8824.0,5.0
2016-05-31,300258,精锻科技,buy,13.2,600,7920.0,5.0
2016-06-06,000798,中水渔业,sell,13.35,500,6675.0,11.675
2016-06-06,000973,佛塑科技,buy,9.8,200,1960.0000000000002,5.0
2016-06-14,000973,佛塑科技,sell,9.13,200,1826.0000000000002,6.8260000000000005
2016-06-14,001896,豫能控股,buy,8.89,300,2667.0,5.0
2016-06-16,000833,粤桂股份,sell,12.21,800,9768.0,14.768
2016-06-16,300258,精锻科技,sell,14.22,600,8532.0,13.532
2016-06-16,001896,豫能控股,sell,8.74,300,2622.0,7.622
2016-08-15,000839,国安股份,buy,10.88,900,9792.0,5.0
2016-08-15,002703,浙江世宝,buy,17.29,600,10374.0,5.0
2016-08-15,600629,华建集团,buy,10.81,900,9729.0,5.0
2016-08-15,000839,国安股份,buy,10.88,4000,43520.0,13.056
2016-08-16,002703,浙江世宝,buy,19.03,400,7612.0,5.0
2016-08-22,002703,浙江世宝,sell,16.68,1000,16680.0,21.683999999999997
2016-08-22,600397,江钨装备,buy,4.67,800,3736.0,5.0
2016-08-24,000839,国安股份,sell,11.4,4900,55860.0,72.618
2016-08-24,600629,华建集团,sell,11.2,900,10080.0,15.08
2016-08-24,600397,江钨装备,sell,4.67,800,3736.0,8.736
2016-10-28,002703,浙江世宝,buy,19.06,400,7623.999999999999,5.0
2016-10-28,600397,江钨装备,buy,5.27,1700,8959.0,5.0
2016-10-28,002498,汉缆股份,buy,4.12,2200,9064.0,5.0
2016-11-21,002703,浙江世宝,sell,17.97,400,7188.0,12.187999999999999
2016-11-21,000859,国风新材,buy,6.31,300,1892.9999999999998,5.0
2016-11-30,000859,国风新材,sell,5.68,300,1704.0,6.704
2016-11-30,000833,粤桂股份,buy,9.46,200,1892.0000000000002,5.0
2016-12-13,000833,粤桂股份,sell,8.47,200,1694.0000000000002,6.694
2016-12-13,601890,亚星锚链,buy,8.82,200,1764.0,5.0
2016-12-13,600397,江钨装备,sell,5.09,1700,8653.0,13.653
2016-12-13,002498,汉缆股份,sell,3.96,2200,8712.0,13.712
2016-12-13,601890,亚星锚链,sell,8.82,200,1764.0,6.764
2017-01-04,300449,汉邦高科,buy,26.86,300,8058.0,5.0
2017-01-04,600629,华建集团,buy,11.8,700,8260.0,5.0
2017-01-04,002169,智光电气,buy,10.78,800,8624.0,5.0
2017-01-09,002169,智光电气,sell,9.78,800,7823.999999999999,12.823999999999998
2017-01-09,001896,豫能控股,buy,10.92,400,4368.0,5.0
2017-01-16,600629,华建集团,sell,10.69,700,7483.0,12.483
2017-01-16,001896,豫能控股,sell,10.19,400,4076.0,9.076
2017-01-16,600893,航发动力,buy,32.95,100,3295.0000000000005,5.0
2017-01-16,000798,中水渔业,buy,11.16,400,4464.0,5.0
2017-01-18,300449,汉邦高科,sell,26.86,300,8058.0,13.058
2017-01-18,600893,航发动力,sell,32.87,100,3286.9999999999995,8.286999999999999
2017-01-18,000798,中水渔业,sell,12.76,400,5104.0,10.104
2017-02-17,300449,汉邦高科,buy,26.86,300,8058.0,5.0
2017-02-17,600397,江钨装备,buy,5.69,1500,8535.0,5.0
2017-02-17,000839,国安股份,buy,9.17,900,8253.0,5.0
2017-02-27,300449,汉邦高科,sell,22.93,300,6879.0,11.879000000000001
2017-02-27,600984,建设机械,buy,6.41,300,1923.0,5.0
2017-03-03,600397,江钨装备,sell,5.37,1500,8055.0,13.055
2017-03-03,000839,国安股份,sell,11.27,900,10143.0,15.143
2017-03-03,600984,建设机械,sell,5.9,300,1770.0,6.77
2017-06-13,002703,浙江世宝,buy,10.12,1000,10120.0,5.0
2017-06-13,002467,二六三,buy,4.34,2400,10416.0,5.0
2017-06-13,000638,*ST万方,buy,14.49,700,10143.0,5.0
2017-06-23,002703,浙江世宝,sell,9.52,1000,9520.0,14.52
2017-06-23,000638,*ST万方,sell,12.95,700,9065.0,14.065
2017-06-23,600791,京能置业,buy,9.52,300,2856.0,5.0
2017-06-23,002510,天汽模,buy,7.63,400,3052.0,5.0
2017-06-27,002467,二六三,sell,4.28,2400,10272.0,15.272
2017-06-27,600791,京能置业,sell,9.47,300,2841.0,7.841
2017-06-27,002510,天汽模,sell,7.69,400,3076.0,8.076
2017-06-28,600397,江钨装备,buy,4.4,1900,8360.0,5.0
2017-06-28,600984,建设机械,buy,4.5,1900,8550.0,5.0
2017-06-28,002703,浙江世宝,buy,9.86,800,7888.0,5.0
2017-07-11,600984,建设机械,sell,4.18,1900,7941.999999999999,12.942
2017-07-11,300589,江龙船艇,buy,8.74,200,1748.0,5.0
2017-07-12,600397,江钨装备,sell,4.46,1900,8474.0,13.474
2017-07-12,002703,浙江世宝,sell,11.43,800,9144.0,14.144
2017-07-12,300589,江龙船艇,sell,9.0,200,1800.0,6.8
2017-08-28,603960,克来机电,buy,12.92,600,7752.0,5.0
2017-08-28,300567,精测电子,buy,26.07,300,7821.0,5.0
2017-08-28,600410,华胜天成,buy,9.31,900,8379.0,5.0
2017-09-11,603960,克来机电,sell,12.71,600,7626.000000000001,12.626000000000001
2017-09-11,300567,精测电子,sell,32.91,300,9872.999999999998,14.872999999999998
2017-09-11,600410,华胜天成,sell,10.06,900,9054.0,14.054
2017-10-10,300589,江龙船艇,buy,9.93,800,7944.0,5.0
2017-10-10,002467,二六三,buy,6.34,1400,8876.0,5.0
2017-10-10,002009,天奇股份,buy,16.37,500,8185.000000000001,5.0
2017-10-17,300589,江龙船艇,sell,9.56,800,7648.0,12.648
2017-10-17,002009,天奇股份,sell,15.68,500,7840.0,12.84
2017-10-17,002843,泰嘉股份,buy,17.12,200,3424.0,5.0
2017-10-17,600893,航发动力,buy,31.33,100,3133.0,5.0
2017-10-18,002467,二六三,sell,5.51,1400,7714.0,12.714
2017-10-18,300567,精测电子,buy,37.53,200,7506.0,5.0
2017-10-20,002843,泰嘉股份,sell,15.8,200,3160.0,8.16
2017-10-20,300486,东杰智能,buy,11.85,400,4740.0,5.0
2017-10-24,600893,航发动力,sell,30.36,100,3036.0,8.036
2017-10-24,300567,精测电子,sell,36.26,200,7252.0,12.251999999999999
2017-10-24,300486,东杰智能,sell,11.42,400,4568.0,9.568000000000001
2017-10-25,300258,精锻科技,buy,16.52,500,8260.0,5.0
2017-10-25,002843,泰嘉股份,buy,16.77,500,8385.0,5.0
