date,total_value,cash
2026-01-23,999700.7983599999,2361.998360000027
2026-01-26,998104.4983600001,2361.998360000027
2026-01-27,993788.11111,2549.911110000103
2026-01-28,1001323.91111,2549.911110000103
2026-01-29,1030907.3571300001,2322.357130000135
2026-01-30,1013613.2571300002,2322.357130000135
2026-02-02,976419.1532000001,360781.8532000002
2026-02-03,991361.1645200001,3341.164520000166
2026-02-04,1017126.1645200001,3341.164520000166
2026-02-05,994576.1645200001,3341.164520000166
2026-02-06,986156.1645200001,3341.164520000166
2026-02-09,1007986.1645200001,3341.164520000166
2026-02-10,1003326.1645200001,3341.164520000166
2026-02-11,1005920.6573000001,2390.0573000001605
2026-02-12,979201.3076800001,2426.9076800001785
2026-02-13,993038.6076800001,2426.9076800001785
