date,strategy,code,action,price,amount,value,commission
2026-01-23,搅屎棍,001324,买入,19.41,11000,213510.0,64.053
2026-01-23,搅屎棍,603079,买入,21.41,10000,214100.0,64.22999999999999
2026-01-23,偷鸡摸狗,518880,买入,10.617,20700,219771.90000000002,65.93157000000001
2026-01-23,ETF轮动,159628,买入,1.513,231300,349956.89999999997,104.98706999999997
2026-01-27,ETF轮动,159628,卖出,1.497,231300,346256.10000000003,450.13293000000004
2026-01-27,ETF轮动,518880,买入,10.934,31600,345514.39999999997,103.65431999999998
2026-01-29,ETF轮动,518880,卖出,11.904,31600,376166.4,489.01632
2026-01-29,ETF轮动,159628,买入,1.483,253400,375792.2,112.73765999999999
2026-02-02,ETF轮动,159628,卖出,1.417,253300,358926.10000000003,466.60393
2026-02-03,ETF轮动,159628,卖出,1.463,100,146.3,5.1463
2026-02-03,ETF轮动,518880,买入,10.422,34300,357474.60000000003,107.24238
2026-02-11,ETF轮动,518880,卖出,10.758,34300,368999.39999999997,479.69921999999997
2026-02-11,ETF轮动,161226,买入,3.04,121500,369360.0,110.80799999999999
2026-02-12,ETF轮动,161226,卖出,2.87,121500,348705.0,453.31649999999996
2026-02-12,ETF轮动,513520,买入,2.082,167200,348110.39999999997,104.43311999999997
