date,code,name,action,price,amount,value,commission
2023-02-22,600984,建设机械,buy,7.42,4400,32648.0,9.7944
2023-02-22,920533,骏创科技,buy,7.95,4100,32595.0,9.7785
2023-02-22,605136,丽人丽妆,buy,14.74,2200,32428.0,9.728399999999999
2023-02-22,605136,丽人丽妆,sell,14.74,2200,32428.0,42.1564
2023-02-23,002355,兴民智通,buy,5.1,3400,17340.0,5.202
2023-02-23,920533,骏创科技,sell,7.8,2900,22620.0,29.406
2023-02-28,002355,兴民智通,sell,4.71,3400,16014.0,21.014
2023-02-28,300935,盈建科,buy,30.58,300,9174.0,5.0
2023-03-07,600984,建设机械,sell,6.72,4400,29568.0,38.4384
2023-03-07,603163,圣晖集成,buy,23.52,400,9408.0,5.0
2023-03-09,920533,骏创科技,sell,7.61,1200,9132.0,14.132
2023-03-09,300935,盈建科,sell,32.18,300,9654.0,14.654
2023-03-09,603163,圣晖集成,sell,23.78,400,9512.0,14.512
2023-03-10,000890,法尔胜,buy,4.98,6300,31374.000000000004,9.4122
2023-03-10,603163,圣晖集成,buy,26.39,1200,31668.0,9.500399999999999
2023-03-10,688579,山大地纬,buy,12.21,2500,30525.000000000004,9.1575
2023-03-10,000890,法尔胜,sell,4.98,6300,31374.000000000004,40.78620000000001
2023-03-10,603163,圣晖集成,sell,26.39,1200,31668.0,41.1684
2023-03-10,688579,山大地纬,sell,12.21,2500,30525.000000000004,39.682500000000005
2023-03-13,000890,法尔胜,buy,5.48,5700,31236.000000000004,9.370800000000001
2023-03-13,603163,圣晖集成,buy,26.35,1200,31620.0,9.485999999999999
2023-03-13,300935,盈建科,buy,33.3,900,29969.999999999996,8.990999999999998
2023-03-13,000890,法尔胜,sell,5.48,5700,31236.000000000004,40.60680000000001
2023-03-13,603163,圣晖集成,sell,26.35,1200,31620.0,41.106
2023-03-13,300935,盈建科,sell,33.3,900,29969.999999999996,38.96099999999999
2023-03-14,603163,圣晖集成,buy,26.41,1100,29051.0,8.7153
2023-03-14,688579,山大地纬,buy,13.96,2200,30712.000000000004,9.2136
2023-03-14,688419,耐科装备,buy,29.76,1000,29760.0,8.927999999999999
2023-03-14,603163,圣晖集成,sell,26.41,1100,29051.0,37.7663
2023-03-14,688579,山大地纬,sell,13.96,2200,30712.000000000004,39.9256
2023-03-14,688419,耐科装备,sell,29.76,1000,29760.0,38.688
2023-03-15,603163,圣晖集成,buy,27.67,1100,30437.000000000004,9.1311
2023-03-15,000890,法尔胜,buy,6.49,4800,31152.0,9.3456
2023-03-15,688579,山大地纬,buy,13.85,2200,30470.0,9.141
2023-03-15,603163,圣晖集成,sell,27.67,1100,30437.000000000004,39.5681
